x,y,z,vertex_index
-5.0,-5.0,0.7088612918380417,0
-4.795918367346939,-5.0,0.6012607971825358,1
-4.591836734693878,-5.0,0.4841622483917459,2
-4.387755102040816,-5.0,0.36074079199386205,3
-4.183673469387755,-5.0,0.2340649312795522,4
-3.979591836734694,-5.0,0.10700466225365904,5
-3.7755102040816326,-5.0,-0.017844999526576623,6
-3.571428571428571,-5.0,-0.1382232899389743,7
-3.36734693877551,-5.0,-0.25224482205187354,8
-3.163265306122449,-5.0,-0.35842247312311465,9
-2.9591836734693877,-5.0,-0.4556727299161992,10
-2.7551020408163263,-5.0,-0.5433048854762592,11
-2.5510204081632653,-5.0,-0.6209960528919449,12
-2.3469387755102042,-5.0,-0.6887543890600372,13
-2.142857142857143,-5.0,-0.7468731919599996,14
-1.9387755102040813,-5.0,-0.7958786461366035,15
-1.7346938775510203,-5.0,-0.83647395067372,16
-1.5306122448979593,-5.0,-0.8694823891841046,17
-1.3265306122448979,-5.0,-0.8957916179629644,18
-1.1224489795918364,-5.0,-0.9163010888039721,19
-0.9183673469387754,-5.0,-0.9318741234556186,20
-0.7142857142857144,-5.0,-0.943295754557381,21
-0.5102040816326525,-5.0,-0.951237077630314,22
-0.3061224489795915,-5.0,-0.9562265483608539,23
-0.1020408163265305,-5.0,-0.9586284273783966,24
0.1020408163265305,-5.0,-0.9586284273783966,25
0.3061224489795915,-5.0,-0.9562265483608539,26
0.5102040816326534,-5.0,-0.951237077630314,27
0.7142857142857144,-5.0,-0.943295754557381,28
0.9183673469387754,-5.0,-0.9318741234556186,29
1.1224489795918373,-5.0,-0.9163010888039721,30
1.3265306122448983,-5.0,-0.8957916179629644,31
1.5306122448979593,-5.0,-0.8694823891841046,32
1.7346938775510203,-5.0,-0.83647395067372,33
1.9387755102040813,-5.0,-0.7958786461366035,34
2.1428571428571432,-5.0,-0.7468731919599996,35
2.3469387755102042,-5.0,-0.6887543890600372,36
2.5510204081632653,-5.0,-0.6209960528919449,37
2.755102040816327,-5.0,-0.5433048854762592,38
2.959183673469388,-5.0,-0.45567272991619845,39
3.163265306122449,-5.0,-0.35842247312311465,40
3.36734693877551,-5.0,-0.25224482205187354,41
3.571428571428571,-5.0,-0.1382232899389743,42
3.775510204081632,-5.0,-0.01784499952657751,43
3.979591836734695,-5.0,0.10700466225365993,44
4.183673469387756,-5.0,0.2340649312795522,45
4.387755102040817,-5.0,0.36074079199386205,46
4.591836734693878,-5.0,0.4841622483917459,47
4.795918367346939,-5.0,0.6012607971825358,48
5.0,-5.0,0.7088612918380417,49
-5.0,-4.795918367346939,0.6012607971825358,50
-4.795918367346939,-4.795918367346939,0.4787825737542306,51
-4.591836734693878,-4.795918367346939,0.3490230202560174,52
-4.387755102040816,-4.795918367346939,0.21536245765190154,53
-4.183673469387755,-4.795918367346939,0.08099775378767857,54
-3.979591836734694,-4.795918367346939,-0.05115012570670397,55
-3.7755102040816326,-4.795918367346939,-0.1785105504524081,56
-3.571428571428571,-4.795918367346939,-0.2989180310406672,57
-3.36734693877551,-4.795918367346939,-0.41064674598171086,58
-3.163265306122449,-4.795918367346939,-0.5124250649044806,59
-2.9591836734693877,-4.795918367346939,-0.6034311923969352,60
-2.7551020408163263,-4.795918367346939,-0.6832717906406616,61
